English,Remedy_1,Remedy_2,Remedy_3,Remedy_dummy,Symptoms,Remedy_DUMMY,Remedy
TONSILITIS,"CALCARIA FLOURIDE 3X , CALCARIA PHOSPHORICA  3X OR 12X , FERRUM PHOSPHORICUM 12X , MAGNESIA PHOSPHORICA 3X , KALI PHOSPHORICUM 3X , KALI MURIATICUM 3X , NATRUM SULPHURICUM 3X , NATRUM MURIATICUM 3X , NATRUM PHOSPHORICUM 3X ,  MIX AND TAKE. IF REMEDY FAILS TRY REMEDY 2. ","CALCARIA SULPHURICUM 3X , KALI SULPHURICUM 3X , SILICEA 12X  MIX AND TAKE. IF REMEDY FAILS TRY REMEDY 3. ","CALCARIA SULPHURICUM 3X ORKALI PHOSPHORICUM 3X , NATRUM SULPHURICUM 3X , NATRUM MURIATICUM 3X , SILICEA 12X  MIX AND TAKE. ","CALCARIA FLOURIDE 3X , CALCARIA PHOSPHORICA  3X OR 12X , FERRUM PHOSPHORICUM 12X , MAGNESIA PHOSPHORICA 3X , KALI PHOSPHORICUM 3X , KALI MURIATICUM 3X , NATRUM SULPHURICUM 3X , NATRUM MURIATICUM 3X , NATRUM PHOSPHORICUM 3X ,  MIX AND TAKE. IF REMEDY FAILS TRY REMEDY 2.  , CALCARIA SULPHURICUM 3X , KALI SULPHURICUM 3X , SILICEA 12X  MIX AND TAKE. IF REMEDY FAILS TRY REMEDY 3.  , CALCARIA SULPHURICUM 3X ORKALI PHOSPHORICUM 3X , NATRUM SULPHURICUM 3X , NATRUM MURIATICUM 3X , SILICEA 12X  MIX AND TAKE. ",Tonsilitis,"Calcaria Flouride 3X , Calcaria Phosphorica  3X Or 12X , Ferrum Phosphoricum 12X , Magnesia Phosphorica 3X , Kali Phosphoricum 3X , Kali Muriaticum 3X , Natrum Sulphuricum 3X , Natrum Muriaticum 3X , Natrum Phosphoricum 3X ,  Mix And Take. If Remedy Fails Try Remedy 2.  , Calcaria Sulphuricum 3X , Kali Sulphuricum 3X , Silicea 12X  Mix And Take. If Remedy Fails Try Remedy 3.  , Calcaria Sulphuricum 3X Orkali Phosphoricum 3X , Natrum Sulphuricum 3X , Natrum Muriaticum 3X , Silicea 12X  Mix And Take. ","Calcaria Flouride 3X , Calcaria Phosphorica 3X Or 12X , Ferrum Phosphoricum 12X , Magnesia Phosphorica 3X , Kali Phosphoricum 3X , Kali Muriaticum 3X , Natrum Sulphuricum 3X , Natrum Muriaticum 3X , Natrum Phosphoricum 3X , Mix And Take. If Remedy Fails Try Remedy 2. , Calcaria Sulphuricum 3X , Kali Sulphuricum 3X , Silicea 12X Mix And Take. If Remedy Fails Try Remedy 3. , Calcaria Sulphuricum 3X Orkali Phosphoricum 3X , Natrum Sulphuricum 3X , Natrum Muriaticum 3X , Silicea 12X Mix And Take."
TOOTH PAINS,,,,For relieving a suddenly developped tooth pain  try one dose of 30 CH de Belladone every 30 or 60 minutes until pain starts to decrease  in case the weather is cold or in case what you eat increases pain  and if heat and a light pression on the jowl relieves you  doctor Fischer suggests one dose of 30 CH of Magnesia phosphorica every 30 or 60 minutes  as long as necessary. ,Tooth Pains,For Relieving A Suddenly Developped Tooth Pain  Try One Dose Of 30 Ch De Belladone Every 30 Or 60 Minutes Until Pain Starts To Decrease  In Case The Weather Is Cold Or In Case What You Eat Increases Pain  And If Heat And A Light Pression On The Jowl Relieves You  Doctor Fischer Suggests One Dose Of 30 Ch Of Magnesia Phosphorica Every 30 Or 60 Minutes  As Long As Necessary. ,For Relieving A Suddenly Developped Tooth Pain Try One Dose Of 30 Ch De Belladone Every 30 Or 60 Minutes Until Pain Starts To Decrease In Case The Weather Is Cold Or In Case What You Eat Increases Pain And If Heat And A Light Pression On The Jowl Relieves You Doctor Fischer Suggests One Dose Of 30 Ch Of Magnesia Phosphorica Every 30 Or 60 Minutes As Long As Necessary.
TOOTHACHE,"CALCARIA FLOURIDE 3X , CALCARIA PHOSPHORICA  3X OR 12X , FERRUM PHOSPHORICUM 12X , MAGNESIA PHOSPHORICA 3X , KALI PHOSPHORICUM 3X , KALI MURIATICUM 3X , KALI SULPHURICUM 3X , NATRUM SULPHURICUM 3X , NATRUM MURIATICUM 3X , SILICEA 12X  MIX AND TAKE. ",,,"CALCARIA FLOURIDE 3X , CALCARIA PHOSPHORICA  3X OR 12X , FERRUM PHOSPHORICUM 12X , MAGNESIA PHOSPHORICA 3X , KALI PHOSPHORICUM 3X , KALI MURIATICUM 3X , KALI SULPHURICUM 3X , NATRUM SULPHURICUM 3X , NATRUM MURIATICUM 3X , SILICEA 12X  MIX AND TAKE. ",Toothache,"Calcaria Flouride 3X , Calcaria Phosphorica  3X Or 12X , Ferrum Phosphoricum 12X , Magnesia Phosphorica 3X , Kali Phosphoricum 3X , Kali Muriaticum 3X , Kali Sulphuricum 3X , Natrum Sulphuricum 3X , Natrum Muriaticum 3X , Silicea 12X  Mix And Take. ","Calcaria Flouride 3X , Calcaria Phosphorica 3X Or 12X , Ferrum Phosphoricum 12X , Magnesia Phosphorica 3X , Kali Phosphoricum 3X , Kali Muriaticum 3X , Kali Sulphuricum 3X , Natrum Sulphuricum 3X , Natrum Muriaticum 3X , Silicea 12X Mix And Take."
TRANSIENT STRESS,,,,Stress is not only related to lifestyle and environment  it can occur as a result of unusual events or situations  for example on the eve of exams or during emotional shocks (loss of a loved one  divorce  etc).  Homeopathy is ideal for treating these transient stresses that are often troublesome.  For example  against fear of exams  Gelsemium sempervirens is the most appropriate.  And against the occasional stresses caused by emotional shocks  Arnica montana is the most efficient remedy.  And finally  for those facing a difficult situation such as speaking in public  for example  Ambra grisea or three medications of two granules of Staphysagria 9 CH per day  can help them to overcome their shyness and stress. ,Transient Stress,Stress Is Not Only Related To Lifestyle And Environment  It Can Occur As A Result Of Unusual Events Or Situations  For Example On The Eve Of Exams Or During Emotional Shocks (Loss Of A Loved One  Divorce  Etc).  Homeopathy Is Ideal For Treating These Transient Stresses That Are Often Troublesome.  For Example  Against Fear Of Exams  Gelsemium Sempervirens Is The Most Appropriate.  And Against The Occasional Stresses Caused By Emotional Shocks  Arnica Montana Is The Most Efficient Remedy.  And Finally  For Those Facing A Difficult Situation Such As Speaking In Public  For Example  Ambra Grisea Or Three Medications Of Two Granules Of Staphysagria 9 Ch Per Day  Can Help Them To Overcome Their Shyness And Stress. ,Stress Is Not Only Related To Lifestyle And Environment It Can Occur As A Result Of Unusual Events Or Situations For Example On The Eve Of Exams Or During Emotional Shocks (Loss Of A Loved One Divorce Etc). Homeopathy Is Ideal For Treating These Transient Stresses That Are Often Troublesome. For Example Against Fear Of Exams Gelsemium Sempervirens Is The Most Appropriate. And Against The Occasional Stresses Caused By Emotional Shocks Arnica Montana Is The Most Efficient Remedy. And Finally For Those Facing A Difficult Situation Such As Speaking In Public For Example Ambra Grisea Or Three Medications Of Two Granules Of Staphysagria 9 Ch Per Day Can Help Them To Overcome Their Shyness And Stress.
TRANSITIONAL UNREST,,,,One dose of Coffea Cruda 9 CH  to take before bedtime  will relieve children that become agitated because of happy events. A vermifuge treatment based on Cina 9 CH should be moreover useful to those suffering from worm infection. One granule of Zincum metal 9 CH  to suck at bedtime  allows to reduce behavioral problems caused by allopathic medicines. ,Transitional Unrest,One Dose Of Coffea Cruda 9 Ch  To Take Before Bedtime  Will Relieve Children That Become Agitated Because Of Happy Events. A Vermifuge Treatment Based On Cina 9 Ch Should Be Moreover Useful To Those Suffering From Worm Infection. One Granule Of Zincum Metal 9 Ch  To Suck At Bedtime  Allows To Reduce Behavioral Problems Caused By Allopathic Medicines. ,One Dose Of Coffea Cruda 9 Ch To Take Before Bedtime Will Relieve Children That Become Agitated Because Of Happy Events. A Vermifuge Treatment Based On Cina 9 Ch Should Be Moreover Useful To Those Suffering From Worm Infection. One Granule Of Zincum Metal 9 Ch To Suck At Bedtime Allows To Reduce Behavioral Problems Caused By Allopathic Medicines.
TRAVEL SICKNESS,,,,"Air need - Tabacum 5 CH ,  1 granule hourly during the travelingDizziness or vomiting- Cocculus 5 CH ,  1 granule hourly during traveling or COCCULINESea sick - Ignatia 9 CH ,  a dose ,  4 days before leaving",Travel Sickness,"Air Need - Tabacum 5 Ch ,  1 Granule Hourly During The Travelingdizziness Or Vomiting- Cocculus 5 Ch ,  1 Granule Hourly During Traveling Or Cocculinesea Sick - Ignatia 9 Ch ,  A Dose ,  4 Days Before Leaving","Air Need - Tabacum 5 Ch , 1 Granule Hourly During The Travelingdizziness Or Vomiting- Cocculus 5 Ch , 1 Granule Hourly During Traveling Or Cocculinesea Sick - Ignatia 9 Ch , A Dose , 4 Days Before Leaving"
TREMBLING,"CALCARIA PHOSPHORICA  3X OR 12X , KALI PHOSPHORICUM 3X , KALI MURIATICUM 3X , MAGNESIA PHOSPHORICA 3X , NATRUM SULPHURICUM 3X , NATRUM MURIATICUM 3X , NATRUM PHOSPHORICUM 3X , SILICEA 12X  MIX AND TAKE. ",,,"CALCARIA PHOSPHORICA  3X OR 12X , KALI PHOSPHORICUM 3X , KALI MURIATICUM 3X , MAGNESIA PHOSPHORICA 3X , NATRUM SULPHURICUM 3X , NATRUM MURIATICUM 3X , NATRUM PHOSPHORICUM 3X , SILICEA 12X  MIX AND TAKE. ",Trembling,"Calcaria Phosphorica  3X Or 12X , Kali Phosphoricum 3X , Kali Muriaticum 3X , Magnesia Phosphorica 3X , Natrum Sulphuricum 3X , Natrum Muriaticum 3X , Natrum Phosphoricum 3X , Silicea 12X  Mix And Take. ","Calcaria Phosphorica 3X Or 12X , Kali Phosphoricum 3X , Kali Muriaticum 3X , Magnesia Phosphorica 3X , Natrum Sulphuricum 3X , Natrum Muriaticum 3X , Natrum Phosphoricum 3X , Silicea 12X Mix And Take."
TREMBLING AND TIREDNESS,,,,To certain patients  trembling may be a revealing a sign of a generalized tiredness or a physical and mental asthenia.  For treating it  you can use Zincum metalicum and associate it with other remedies  especially in case trembling causes muscle  cardiac or respiratory disorders.  In case of proved mental tiredness  followed by depression  Hyosciamus niger is the efficient remedy  especially if trembling is prior to a patients overexcitation manifested by aggression or wandering. ,Trembling And Tiredness,To Certain Patients  Trembling May Be A Revealing A Sign Of A Generalized Tiredness Or A Physical And Mental Asthenia.  For Treating It  You Can Use Zincum Metalicum And Associate It With Other Remedies  Especially In Case Trembling Causes Muscle  Cardiac Or Respiratory Disorders.  In Case Of Proved Mental Tiredness  Followed By Depression  Hyosciamus Niger Is The Efficient Remedy  Especially If Trembling Is Prior To A Patients Overexcitation Manifested By Aggression Or Wandering. ,To Certain Patients Trembling May Be A Revealing A Sign Of A Generalized Tiredness Or A Physical And Mental Asthenia. For Treating It You Can Use Zincum Metalicum And Associate It With Other Remedies Especially In Case Trembling Causes Muscle Cardiac Or Respiratory Disorders. In Case Of Proved Mental Tiredness Followed By Depression Hyosciamus Niger Is The Efficient Remedy Especially If Trembling Is Prior To A Patients Overexcitation Manifested By Aggression Or Wandering.
TUMOR,"CALCARIA FLOURIDE 3X , CALCARIA PHOSPHORICA  3X OR 12X , CALCARIA SULPHURICUM 3X , NATRUM MURIATICUM 3X , NATRUM PHOSPHORICUM 3X , KALI PHOSPHORICUM 3X , KALI MURIATICUM 3X , KALI SULPHURICUM 3X , SILICEA 12X  MIX AND TAKE. ",,,"CALCARIA FLOURIDE 3X , CALCARIA PHOSPHORICA  3X OR 12X , CALCARIA SULPHURICUM 3X , NATRUM MURIATICUM 3X , NATRUM PHOSPHORICUM 3X , KALI PHOSPHORICUM 3X , KALI MURIATICUM 3X , KALI SULPHURICUM 3X , SILICEA 12X  MIX AND TAKE. ",Tumour,"Calcaria Flouride 3X , Calcaria Phosphorica  3X Or 12X , Calcaria Sulphuricum 3X , Natrum Muriaticum 3X , Natrum Phosphoricum 3X , Kali Phosphoricum 3X , Kali Muriaticum 3X , Kali Sulphuricum 3X , Silicea 12X  Mix And Take. ","Calcaria Flouride 3X , Calcaria Phosphorica 3X Or 12X , Calcaria Sulphuricum 3X , Natrum Muriaticum 3X , Natrum Phosphoricum 3X , Kali Phosphoricum 3X , Kali Muriaticum 3X , Kali Sulphuricum 3X , Silicea 12X Mix And Take."
URAEMIA,"FERRUM PHOSPHORICUM 12X  ,  KALI MURIATICUM 3X  ,  NATRUM PHOSPHORICUM 3X  MIX AND TAKE ",,,"FERRUM PHOSPHORICUM 12X  ,  KALI MURIATICUM 3X  ,  NATRUM PHOSPHORICUM 3X  MIX AND TAKE ",Uraemia,"Ferrum Phosphoricum 12X  ,  Kali Muriaticum 3X  ,  Natrum Phosphoricum 3X  Mix And Take ","Ferrum Phosphoricum 12X , Kali Muriaticum 3X , Natrum Phosphoricum 3X Mix And Take"
URINE - INABILITY TO RETAIN,"TAKE CALCARIA PHOSPHORICA  3X OR 12X , KALI PHOSPHORICUM 3X , NATRUM PHOSPHORICUM 3X",,,"TAKE CALCARIA PHOSPHORICA  3X OR 12X , KALI PHOSPHORICUM 3X , NATRUM PHOSPHORICUM 3X",Urine - Inability To Retain,"Take Calcaria Phosphorica  3X Or 12X , Kali Phosphoricum 3X , Natrum Phosphoricum 3X","Take Calcaria Phosphorica 3X Or 12X , Kali Phosphoricum 3X , Natrum Phosphoricum 3X"
URINE - MILKY WHITE,NATRUM MURIATICUM 3X,,,NATRUM MURIATICUM 3X,Urine - Milky White,Natrum Muriaticum 3X,Natrum Muriaticum 3X
URINE  PAASED DURING SLEEP,"CALCARIA PHOSPHORICA  3X OR 12X , CALCARIA SULPHURICUM 3X , FERRUM PHOSPHORICUM 12X , KALI PHOSPHORICUM 3X , MAGNESIA PHOSPHORICA 3X , NATRUM PHOSPHORICUM 3X , NATRUM SULPHURICUM 3X , SILICEA 12X  MIX AND TAKE. ",,,"CALCARIA PHOSPHORICA  3X OR 12X , CALCARIA SULPHURICUM 3X , FERRUM PHOSPHORICUM 12X , KALI PHOSPHORICUM 3X , MAGNESIA PHOSPHORICA 3X , NATRUM PHOSPHORICUM 3X , NATRUM SULPHURICUM 3X , SILICEA 12X  MIX AND TAKE. ",Urine  Passed During Sleep,"Calcaria Phosphorica  3X Or 12X , Calcaria Sulphuricum 3X , Ferrum Phosphoricum 12X , Kali Phosphoricum 3X , Magnesia Phosphorica 3X , Natrum Phosphoricum 3X , Natrum Sulphuricum 3X , Silicea 12X  Mix And Take. ","Calcaria Phosphorica 3X Or 12X , Calcaria Sulphuricum 3X , Ferrum Phosphoricum 12X , Kali Phosphoricum 3X , Magnesia Phosphorica 3X , Natrum Phosphoricum 3X , Natrum Sulphuricum 3X , Silicea 12X Mix And Take."
URINE BURNING TO PAINFUL,"CALCARIA FLOURIDE 3X , FERRUM PHOSPHORICUM 12X , NATRUM SULPHURICUM 3X , NATRUM MURIATICUM 3X , KALI MURIATICUM 3X , KALI PHOSPHORICUM 3X , KALI SULPHURICUM 3X , NATRUM PHOSPHORICUM 3X , MAGNESIA PHOSPHORICA 3X MIX AND TAKE. ",,,"CALCARIA FLOURIDE 3X , FERRUM PHOSPHORICUM 12X , NATRUM SULPHURICUM 3X , NATRUM MURIATICUM 3X , KALI MURIATICUM 3X , KALI PHOSPHORICUM 3X , KALI SULPHURICUM 3X , NATRUM PHOSPHORICUM 3X , MAGNESIA PHOSPHORICA 3X MIX AND TAKE. ",Urine Burning To Painful,"Calcaria Flouride 3X , Ferrum Phosphoricum 12X , Natrum Sulphuricum 3X , Natrum Muriaticum 3X , Kali Muriaticum 3X , Kali Phosphoricum 3X , Kali Sulphuricum 3X , Natrum Phosphoricum 3X , Magnesia Phosphorica 3X Mix And Take. ","Calcaria Flouride 3X , Ferrum Phosphoricum 12X , Natrum Sulphuricum 3X , Natrum Muriaticum 3X , Kali Muriaticum 3X , Kali Phosphoricum 3X , Kali Sulphuricum 3X , Natrum Phosphoricum 3X , Magnesia Phosphorica 3X Mix And Take."
URINE COMES OUT ON COUGHING,"FERRUM PHOSPHORICUM12X , NATRUM MURIATICUM 3X , KALI MURIATICUM 3X",,,"FERRUM PHOSPHORICUM12X , NATRUM MURIATICUM 3X , KALI MURIATICUM 3X",Urine Comes Out On Coughing,"Ferrum Phosphoricum12X , Natrum Muriaticum 3X , Kali Muriaticum 3X","Ferrum Phosphoricum12X , Natrum Muriaticum 3X , Kali Muriaticum 3X"
URINE -FOUL SMELL IN,"CALCARIA FLOURIDE 3X , SILICEA 12X  MIX AND TAKE",,,"CALCARIA FLOURIDE 3X , SILICEA 12X  MIX AND TAKE",Urine -Foul Smell In,"Calcaria Flouride 3X , Silicea 12X  Mix And Take","Calcaria Flouride 3X , Silicea 12X Mix And Take"
URINE INUSCOUS IN,"KALI MURIATICUM 3X , NATRUM SULPHURICUM 3X MIX AND TAKE. ",,,"KALI MURIATICUM 3X , NATRUM SULPHURICUM 3X MIX AND TAKE. ",Urine Innocuous In,"Kali Muriaticum 3X , Natrum Sulphuricum 3X Mix And Take. ","Kali Muriaticum 3X , Natrum Sulphuricum 3X Mix And Take."
URINE MUDDY DEPOSIT IN,"NATRUM MURIATICUM 3X , NATRUM SULPHURICUM 3X , SILICEA 12X  MIX AND TAKE",,,"NATRUM MURIATICUM 3X , NATRUM SULPHURICUM 3X , SILICEA 12X  MIX AND TAKE",Urine Muddy Deposit In,"Natrum Muriaticum 3X , Natrum Sulphuricum 3X , Silicea 12X  Mix And Take","Natrum Muriaticum 3X , Natrum Sulphuricum 3X , Silicea 12X Mix And Take"
URINE PHOSPHATES IN,TAKE CALCARIA PHOSPHORICA  3X OR 12X,,,TAKE CALCARIA PHOSPHORICA  3X OR 12X,Urine Phosphates In,Take Calcaria Phosphorica  3X Or 12X,Take Calcaria Phosphorica 3X Or 12X
URINE PUS IN,NATRUM PHOSPHORICUM 3X,,,NATRUM PHOSPHORICUM 3X,Pus In Urine ,Natrum Phosphoricum 3X,Natrum Phosphoricum 3X
URINE- RED,"FERRUM PHOSPHORICUM12X , NATRUM MURIATICUM 3X , KALI MURIATICUM 3X , KALI PHOSPHORICUM 3X , KALI SULPHURICUM 3X  MIX AND TAKE. ",,,"FERRUM PHOSPHORICUM12X , NATRUM MURIATICUM 3X , KALI MURIATICUM 3X , KALI PHOSPHORICUM 3X , KALI SULPHURICUM 3X  MIX AND TAKE. ",Urine- Red,"Ferrum Phosphoricum12X , Natrum Muriaticum 3X , Kali Muriaticum 3X , Kali Phosphoricum 3X , Kali Sulphuricum 3X  Mix And Take. ","Ferrum Phosphoricum12X , Natrum Muriaticum 3X , Kali Muriaticum 3X , Kali Phosphoricum 3X , Kali Sulphuricum 3X Mix And Take."
URINE STONE IN,"CALCARIA PHOSPHORICA  3X OR 12X , MAGNESIA PHOSPHORICA 3X , NATRUM SULPHURICUM 3X , SILICEA 12X  MIX AND TAKE",,,"CALCARIA PHOSPHORICA  3X OR 12X , MAGNESIA PHOSPHORICA 3X , NATRUM SULPHURICUM 3X , SILICEA 12X  MIX AND TAKE",Urine Stone In,"Calcaria Phosphorica  3X Or 12X , Magnesia Phosphorica 3X , Natrum Sulphuricum 3X , Silicea 12X  Mix And Take","Calcaria Phosphorica 3X Or 12X , Magnesia Phosphorica 3X , Natrum Sulphuricum 3X , Silicea 12X Mix And Take"
URINE TO DECREASE,"ONE TABLET OF  ACID PHOSPHORICUM6  AFTER 2-3 HOURS OTHERWISE CALCARIA FLOURIDE 3X , CALCARIA PHOSPHORICA  3X OR 12X , FERRUM PHOSPHORICUM12X , NATRUM SULPHURICUM 3X , NATRUM MURIATICUM 3X  MIX AND TAKE. ",,,"ONE TABLET OF  ACID PHOSPHORICUM6  AFTER 2-3 HOURS OTHERWISE CALCARIA FLOURIDE 3X , CALCARIA PHOSPHORICA  3X OR 12X , FERRUM PHOSPHORICUM12X , NATRUM SULPHURICUM 3X , NATRUM MURIATICUM 3X  MIX AND TAKE. ",Urine To Decrease,"One Tablet Of  Acid Phosphoricum6  After 2-3 Hours Otherwise Calcaria Flouride 3X , Calcaria Phosphorica  3X Or 12X , Ferrum Phosphoricum12X , Natrum Sulphuricum 3X , Natrum Muriaticum 3X  Mix And Take. ","One Tablet Of Acid Phosphoricum6 After 2-3 Hours Otherwise Calcaria Flouride 3X , Calcaria Phosphorica 3X Or 12X , Ferrum Phosphoricum12X , Natrum Sulphuricum 3X , Natrum Muriaticum 3X Mix And Take."
URINE -URIC ACID IN,"KALI MURIATICUM 3X , SILICEA 12X  MIX AND TAKE. ",,,"KALI MURIATICUM 3X , SILICEA 12X  MIX AND TAKE. ",Urine -Uric Acid In,"Kali Muriaticum 3X , Silicea 12X  Mix And Take. ","Kali Muriaticum 3X , Silicea 12X Mix And Take."
URINE YELLOW OR GREENISHYELLOW,"KALI PHOSPHORICUM 3X , NATRUM SULPHURICUM 3X MIX AND TAKE. ",,,"KALI PHOSPHORICUM 3X , NATRUM SULPHURICUM 3X MIX AND TAKE. ",Urine Yellow Or Greenish yellow,"Kali Phosphoricum 3X , Natrum Sulphuricum 3X Mix And Take. ","Kali Phosphoricum 3X , Natrum Sulphuricum 3X Mix And Take."
URTICARIA,APIS. 6 ONE TABLET AT THE GAP OF 3 HOURS. IF REMEDY FAILS TRY REMEDY 2. ,"CALCARIA FLOURIDE 3X , CALCARIA PHOSPHORICA  3X OR 12X , CALCARIA SULPHURICUM 3X , NATRUM SULPHURICUM 3X , NATRUM MURIATICUM 3X , KALI MURIATICUM 3X , KALI PHOSPHORICUM 3X , KALI SULPHURICUM 3X , NATRUM PHOSPHORICUM 3X , SILICEA 12X  MIX AND TAKE IF  PROBLEM AGAIN OCCURS THEN TAKE NATRUM SULPHURICUM 3X , NATRUM MURIATICUM 3X , NATRUM PHOSPHORICUM 3X. ",,"APIS. 6 ONE TABLET AT THE GAP OF 3 HOURS. IF REMEDY FAILS TRY REMEDY 2.  , CALCARIA FLOURIDE 3X , CALCARIA PHOSPHORICA  3X OR 12X , CALCARIA SULPHURICUM 3X , NATRUM SULPHURICUM 3X , NATRUM MURIATICUM 3X , KALI MURIATICUM 3X , KALI PHOSPHORICUM 3X , KALI SULPHURICUM 3X , NATRUM PHOSPHORICUM 3X , SILICEA 12X  MIX AND TAKE IF  PROBLEM AGAIN OCCURS THEN TAKE NATRUM SULPHURICUM 3X , NATRUM MURIATICUM 3X , NATRUM PHOSPHORICUM 3X.  , ",Urticaria,"Apis. 6 One Tablet At The Gap Of 3 Hours. If Remedy Fails Try Remedy 2.  , Calcaria Flouride 3X , Calcaria Phosphorica  3X Or 12X , Calcaria Sulphuricum 3X , Natrum Sulphuricum 3X , Natrum Muriaticum 3X , Kali Muriaticum 3X , Kali Phosphoricum 3X , Kali Sulphuricum 3X , Natrum Phosphoricum 3X , Silicea 12X  Mix And Take If  Problem Again Occurs Then Take Natrum Sulphuricum 3X , Natrum Muriaticum 3X , Natrum Phosphoricum 3X.  , ","Apis. 6 One Tablet At The Gap Of 3 Hours. If Remedy Fails Try Remedy 2. , Calcaria Flouride 3X , Calcaria Phosphorica 3X Or 12X , Calcaria Sulphuricum 3X , Natrum Sulphuricum 3X , Natrum Muriaticum 3X , Kali Muriaticum 3X , Kali Phosphoricum 3X , Kali Sulphuricum 3X , Natrum Phosphoricum 3X , Silicea 12X Mix And Take If Problem Again Occurs Then Take Natrum Sulphuricum 3X , Natrum Muriaticum 3X , Natrum Phosphoricum 3X. ,"
