English,Remedy_1,Remedy_2,Remedy_3,Remedy
SYMPTOMS DURING SLEEP,,,,"3 granules before going to sleep ; and possibly 3 granules at night in case he wakes up. Calcarea Carbonica 9CH : he sweats while sleeping  Mercurius Solubilis 9CH : he drools while sleeping Arsenicum Album : he wakes up anxious Stramonium 9CH : he has night terrors (he starts screaming while sleeping, but he calms down if you turn on the light, if he feels a presence) Stramonium 9CH : he often has nightmares Belladonna 9CH : he speaks while sleeping.  Belladonna 9CH : he grinds his teeth while sleeping. Lycopodium Clavatum 9CH : he laughs while sleeping Chamomilla Vulgaris 9CH : he cries while sleeping. Chamomilla Vulgaris 9CH : he coughs while sleeping, without waking up. Lycopodium Clavatum 9CH : he sleeps with his eyes half opened. Hyoscyamus Niger 9CH : he startles while sleeping Pulsatilla 9CH : he rocks while sleeping."
SYNOVITIS," CALCARIA FLOURIDE 3X,CALCARIA PHOSPHORICA  12X,FERRUM PHOSPHORICUM 12X,NATRUM MURIATICUM ,SILICEA 12X MIX  AND TAKE .",,," CALCARIA FLOURIDE 3X,CALCARIA PHOSPHORICA  12X,FERRUM PHOSPHORICUM 12X,NATRUM MURIATICUM ,SILICEA 12X MIX  AND TAKE ."
SYPHILIS,"CALCARIA FLOURIDE 3X,CALCARIA PHOSPHORICA  3X OR 12X,KALI PHOSPHORICUM 3X,KALI MURIATICUM 3X,KALI SULPHURICUM 3X,NATRUM SULPHURICUM 3X,NATRUM MURIATICUM 3X,NATRUM PHOSPHORICUM 3X,SILICEA 12X  MIX AND TAKE. AFTER THAT GIVE HIGH POTENCIES OF THESE TABLETS,IF REMEDY FAILS TRY REMEDY 2.","CALCARIA SULPHURICUM 3X,KALI SULPHURICUM 3X,NATRUM MURIATICUM 3X,NATRUM PHOSPHORICUM 3X,SILICEA 12X,FERRUM PHOSPHORICUM 3X,  MIX AND TAKE. AFTER THAT GIVE HIGH POTENCIES OF THESE TABLETS.",,"CALCARIA FLOURIDE 3X,CALCARIA PHOSPHORICA  3X OR 12X,KALI PHOSPHORICUM 3X,KALI MURIATICUM 3X,KALI SULPHURICUM 3X,NATRUM SULPHURICUM 3X,NATRUM MURIATICUM 3X,NATRUM PHOSPHORICUM 3X,SILICEA 12X  MIX AND TAKE. AFTER THAT GIVE HIGH POTENCIES OF THESE TABLETS,IF REMEDY FAILS TRY REMEDY 2.,CALCARIA SULPHURICUM 3X,KALI SULPHURICUM 3X,NATRUM MURIATICUM 3X,NATRUM PHOSPHORICUM 3X,SILICEA 12X,FERRUM PHOSPHORICUM 3X,  MIX AND TAKE. AFTER THAT GIVE HIGH POTENCIES OF THESE TABLETS.,"
TABACCO STOPPAGE,,,,As an uncontrolled aggression occurs most of the times during a stoppage of tobacco or alcohol  it is useful to know remedies that can be administrated according to symptoms. Moschus 9 CH and Sumbul 9 CH calm nervousness taken alternatively  3 granules of each  3 times a day. Caladium Seguinum 9 CH is equally a remedy that efficiently fights against the irrational wish of smoking. This medicine is taken in a  dosage of 3 granules  in the morning and in the evening. To remove the wish of smoking  it is also recommeded to take 5 granules of Lob\u00e9lia Inflata  3 times a day  with half an hour before meals. Other supplementary granules can be taken when the smoking desire becomes urgent and incontrollable.
TASTE BITTER,"CALCARIA FLOURIDE 3X,CALCARIA PHOSPHORICA  3X OR 12X,KALI PHOSPHORICUM 3X,KALI MURIATICUM 3X,MAGNESIA PHOSPHORICA 3X,NATRUM SULPHURICUM 3X,NATRUM MURIATICUM 3X,NATRUM PHOSPHORICUM 3X,SILICEA 12X  MIX AND TAKE,IF REMEDY FAILS TRY REMEDY 2.",TAKE CALCARIA SULPHURICUM 3X.,,"CALCARIA FLOURIDE 3X,CALCARIA PHOSPHORICA  3X OR 12X,KALI PHOSPHORICUM 3X,KALI MURIATICUM 3X,MAGNESIA PHOSPHORICA 3X,NATRUM SULPHURICUM 3X,NATRUM MURIATICUM 3X,NATRUM PHOSPHORICUM 3X,SILICEA 12X  MIX AND TAKE,IF REMEDY FAILS TRY REMEDY 2.,TAKE CALCARIA SULPHURICUM 3X.,"
TASTE SALTY,TAKE NATRUM MURIATICUM 3X.,,,TAKE NATRUM MURIATICUM 3X.
TEETH CARE OF,FRENCH CHALK,,,FRENCH CHALK
TEETH SENSITIVE TO WATER ETC.,"CALCARIA PHOSPHORICA  3X OR 12X,CALCARIA SULPHURICUM 3X,FERRUM PHOSPHORICUM 3X,KALI PHOSPHORICUM 3X,NATRUM MURIATICUM 3X,SILICEA 12X  MIX AND TAKE,IF REMEDY FAILS TRY REMEDY 2.","CALCARIA FLOURIDE 3X,KALI MURIATICUM 3X,MAGNESIA PHOSPHORICA 3X,KALI SULPHURICUM 3X,NATRUM SULPHURICUM 3X,NATRUM PHOSPHORICUM 3X,  MIX AND TAKE.",,"CALCARIA PHOSPHORICA  3X OR 12X,CALCARIA SULPHURICUM 3X,FERRUM PHOSPHORICUM 3X,KALI PHOSPHORICUM 3X,NATRUM MURIATICUM 3X,SILICEA 12X  MIX AND TAKE,IF REMEDY FAILS TRY REMEDY 2.,CALCARIA FLOURIDE 3X,KALI MURIATICUM 3X,MAGNESIA PHOSPHORICA 3X,KALI SULPHURICUM 3X,NATRUM SULPHURICUM 3X,NATRUM PHOSPHORICUM 3X,  MIX AND TAKE.,"
TEETH THAT ARE SLOW TO EMERGE,,,,"3 granules of each, 3 times a day for 1 or 2 monthsCalcarea Carbonica 9CHSilicea 9CH"
TEETHING,CALCARIA PHOSPHORICA  3X.,,,CALCARIA PHOSPHORICA  3X.
TEETHING,,,,"Give Chamomilla 9CH, 5 granules every 2 hours until improvement of all signes (cries, grumpy character, hypersensitivity....).In case of fever : Aconit 7CH.In case of diarrhea : Podophyllum 7CHIn case of delayed dentition :Calcarea Carbonica 7CH : 1 dose per week.Silicea 9CH : 3 granules 3 times per day. "
TEETHING IN CHILDREN,CALCAREA PHOSPHORICA 3X CALCARIA FLOURIDE 3X MIX AND TAKE  ,,,CALCAREA PHOSPHORICA 3X CALCARIA FLOURIDE 3X MIX AND TAKE  
THE BABY CRIES EVERY NIGHT,,,,"It is a  phenomenon experienced by many parents and hard to explain. It often occurs around dusk (between 6 and 8 o\u2019clock in the morning). PHOSPHORUS 9CH, three granules melted in a little water', or a measure of triturations as soon as the sun goes down."
THE REFUSAL OF THE BREAST,,,,"1 dose to dissolve in a small quantity of water. To give at one time. CALCAREA PHOSPHORICA 9CH : vigurous head at first, but suddenly abandoned. CARBO VEGETABILIS 15CH : in case this state follows a hospitalization or a resuscitation. CINA 15CH : the baby is crying every time he is given the breast and is not drinking only when rocked or walked. NUX MOCHATA 9CH : hypothermia, dry mouth. OPIUM 15CH : rebellious somnolence when requested : associated with ARNICA 9 CH. SILICEA 15CH : sleepy, lacking force for sucking. STAPHYSAGRIA 15CH : in case the baby sleeps during daytime, but catches up at night, calling up hourly."
THINNESS,,,,In the morning : Aceticum Acidum 5CH followed by China 5CHIn the evening : Nux Vomica 5CH 5 granules. 
THIRST INCREASAD,BRYONIA 6 IF REMEDY FAILS TRY REMEDY 2.,"TAKE CALCARIA PHOSPHORICA  3X OR 12X,CALCARIA SULPHURICUM 3X,FERRUM PHOSPHORICUM 12X,KALI MURIATICUM 3X,KALI SULPHURICUM 3X,FERRUM PHOSPHORICUM 12X",,"BRYONIA 6 IF REMEDY FAILS TRY REMEDY 2.,TAKE CALCARIA PHOSPHORICA  3X OR 12X,CALCARIA SULPHURICUM 3X,FERRUM PHOSPHORICUM 12X,KALI MURIATICUM 3X,KALI SULPHURICUM 3X,FERRUM PHOSPHORICUM 12X,"
THROMBOSIS,"KALI MURIATICUM 3X,6X AFTER 2-2 OR 5-5 MINUTES.",,,"KALI MURIATICUM 3X,6X AFTER 2-2 OR 5-5 MINUTES."
THRUSH,,,,"BORAX 5CH : whitish punctiform elements. nervous child, hypersensitive to noises and to rocking movements or movement of the body. KALIUM MURIATICUM 5CH : widespread plaques with white coating on tongue  ALOE 5CH : lesions localized inside the cheeks. NATRUM PHOSPHORICUM 7CH : gastrointestinal symptoms going of up to itchy diarrhea with ulceration of the anal circumference. SULFURICUM ACIDUM 7CH : refractory cases, with raw oral mucosa as burnt by acid."
THRUSH,,,,Oral thrush is an infection of the oral mucous membrane  caused by yeast-like fungi.Borax 5CH  Mercurius Cyanatus 5CH  Candida 7CH  Sepia 5CH 3 granules of each 3 times per day. 
THRUSHES,,,,Arsenicum Album 9CH: with burning sensations in the mouth  improved by heat  Borax 5CH : bleeding and painful at contact with foodMercurius Solubilis 6CH : with abundant salivation and bad breath  Nitricum Acidum 6CH : with stinging pains  Sulfuricum Acidum 5CH : with exudation of a yellowish liquid .
TICS IN CHILDREN,,,,"Concerning tics occured during childhood, homeopathy disposes of a certain number of remedies that can eliminate certain problems. Tics characterized by eyes, mouth, hands and feet movements, can be treated with Zincum Metallicum. In nervous, agitated children infected with worms, it is recommended to administrate 5 granules of Cina 15 CH per day. In case tics are accompanied by lethargy and spasm, it can be indicated Agaricus Muscarius. At last, in case tics are manifested by coprolalia, it is recommended a treatment based on Hyoscyamus."
TINNITUS,,,,Tinnitus means sounds in the ears. They are treated in the following way :Three granules three times per day  alternated with ACTAE RACEMOSA 5CH  CHININUM SULFURICUM 5CH  GLONOINUM CH  and this until improvement of the ears disorders.
TIREDNESS,,,,After a physical effort excess or a trauma : Arnica 9CH  1 dose. When growing up too fast : Calcarea Phosphorica 9CH  1 dose on Sunday. After an important liquid loss (diarrhea  affluent menstruation  sweating  profusions  vomiting) : China Officinalis 5CH 5 granules 2 times per day.After sleepless hours or prolonged insomnia : Cocculus indicus 7CH. after bad news : Gelsemium 9CH  1 dose. Tiredness with weight loss  even when eating : Iodum 7CH ou Natrum Mur. 9CH Mental tiredness: Kalium Phosphoricum 9CH.Recovery of an infectious disease : Pulsatilla 7CH  or Sulfur 7CH. Painful tiredness after practicing sport : Rhus Toxicodendron 9CH and Arnica 7CH. After childbirth: Sepia 9CH (avoids depression).
TOBACCO TO REMOVE CRAVING FOR,"CALCARIA PHOSPHORICA  3X OR 12X,NATRUM MURIATICUM 3X.",,,"CALCARIA PHOSPHORICA  3X OR 12X,NATRUM MURIATICUM 3X."
TONSILITIS,"CALCARIA FLOURIDE 3X,CALCARIA PHOSPHORICA  3X OR 12X,FERRUM PHOSPHORICUM 12X,MAGNESIA PHOSPHORICA 3X,KALI PHOSPHORICUM 3X,KALI MURIATICUM 3X,NATRUM SULPHURICUM 3X,NATRUM MURIATICUM 3X,NATRUM PHOSPHORICUM 3X, MIX AND TAKE.IF REMEDY FAILS TRY REMEDY 2.","CALCARIA SULPHURICUM 3X,KALI SULPHURICUM 3X,SILICEA 12X  MIX AND TAKE.IF REMEDY FAILS TRY REMEDY 3.","CALCARIA SULPHURICUM 3X ORKALI PHOSPHORICUM 3X,NATRUM SULPHURICUM 3X,NATRUM MURIATICUM 3X,SILICEA 12X  MIX AND TAKE.","CALCARIA FLOURIDE 3X,CALCARIA PHOSPHORICA  3X OR 12X,FERRUM PHOSPHORICUM 12X,MAGNESIA PHOSPHORICA 3X,KALI PHOSPHORICUM 3X,KALI MURIATICUM 3X,NATRUM SULPHURICUM 3X,NATRUM MURIATICUM 3X,NATRUM PHOSPHORICUM 3X, MIX AND TAKE.IF REMEDY FAILS TRY REMEDY 2.,CALCARIA SULPHURICUM 3X,KALI SULPHURICUM 3X,SILICEA 12X  MIX AND TAKE.IF REMEDY FAILS TRY REMEDY 3.,CALCARIA SULPHURICUM 3X ORKALI PHOSPHORICUM 3X,NATRUM SULPHURICUM 3X,NATRUM MURIATICUM 3X,SILICEA 12X  MIX AND TAKE."
TOOTH PAINS,,,,For relieving a suddenly developped tooth pain  try one dose of 30 CH de Belladone every 30 or 60 minutes until pain starts to decrease  in case the weather is cold or in case what you eat increases pain  and if heat and a light pression on the jowl relieves you  doctor Fischer suggests one dose of 30 CH of Magnesia phosphorica every 30 or 60 minutes  as long as necessary.
TOOTHACHE,"CALCARIA FLOURIDE 3X,CALCARIA PHOSPHORICA  3X OR 12X,FERRUM PHOSPHORICUM 12X,MAGNESIA PHOSPHORICA 3X,KALI PHOSPHORICUM 3X,KALI MURIATICUM 3X,KALI SULPHURICUM 3X,NATRUM SULPHURICUM 3X,NATRUM MURIATICUM 3X,SILICEA 12X  MIX AND TAKE.",,,"CALCARIA FLOURIDE 3X,CALCARIA PHOSPHORICA  3X OR 12X,FERRUM PHOSPHORICUM 12X,MAGNESIA PHOSPHORICA 3X,KALI PHOSPHORICUM 3X,KALI MURIATICUM 3X,KALI SULPHURICUM 3X,NATRUM SULPHURICUM 3X,NATRUM MURIATICUM 3X,SILICEA 12X  MIX AND TAKE."
TRANSIENT STRESS,,,,Stress is not only related to lifestyle and environment  it can occur as a result of unusual events or situations  for example on the eve of exams or during emotional shocks (loss of a loved one  divorce  etc). Homeopathy is ideal for treating these transient stresses that are often troublesome. For example  against fear of exams  Gelsemium sempervirens is the most appropriate. And against the occasional stresses caused by emotional shocks  Arnica montana is the most efficient remedy. And finally  for those facing a difficult situation such as speaking in public  for example  Ambra grisea or three medications of two granules of Staphysagria 9 CH per day  can help them to overcome their shyness and stress.
TRANSITIONAL UNREST,,,,One dose of Coffea Cruda 9 CH  to take before bedtime  will relieve children that become agitated because of happy events.A vermifuge treatment based on Cina 9 CH should be moreover useful to those suffering from worm infection.One granule of Zincum metal 9 CH  to suck at bedtime  allows to reduce behavioral problems caused by allopathic medicines.
TRAVEL SICKNESS,,,,"Air need : Tabacum 5 CH, 1 granule hourly during the travelingDizziness or vomiting: Cocculus 5 CH, 1 granule hourly during traveling or COCCULINESea sick : Ignatia 9 CH, a dose, 4 days before leaving"
TREMBLING,"CALCARIA PHOSPHORICA  3X OR 12X,KALI PHOSPHORICUM 3X,KALI MURIATICUM 3X,MAGNESIA PHOSPHORICA 3X,NATRUM SULPHURICUM 3X,NATRUM MURIATICUM 3X,NATRUM PHOSPHORICUM 3X,SILICEA 12X  MIX AND TAKE.",,,"CALCARIA PHOSPHORICA  3X OR 12X,KALI PHOSPHORICUM 3X,KALI MURIATICUM 3X,MAGNESIA PHOSPHORICA 3X,NATRUM SULPHURICUM 3X,NATRUM MURIATICUM 3X,NATRUM PHOSPHORICUM 3X,SILICEA 12X  MIX AND TAKE."
TREMBLING AND TIREDNESS,,,,To certain patients  trembling may be a revealing a sign of a generalized tiredness or a physical and mental asthenia. For treating it  you can use Zincum metalicum and associate it with other remedies  especially in case trembling causes muscle  cardiac or respiratory disorders. In case of proved mental tiredness  followed by depression  Hyosciamus niger is the efficient remedy  especially if trembling is prior to a patients overexcitation manifested by aggression or wandering.
TUMOR,"CALCARIA FLOURIDE 3X,CALCARIA PHOSPHORICA  3X OR 12X,CALCARIA SULPHURICUM 3X,NATRUM MURIATICUM 3X,NATRUM PHOSPHORICUM 3X,KALI PHOSPHORICUM 3X,KALI MURIATICUM 3X,KALI SULPHURICUM 3X,SILICEA 12X  MIX AND TAKE.",,,"CALCARIA FLOURIDE 3X,CALCARIA PHOSPHORICA  3X OR 12X,CALCARIA SULPHURICUM 3X,NATRUM MURIATICUM 3X,NATRUM PHOSPHORICUM 3X,KALI PHOSPHORICUM 3X,KALI MURIATICUM 3X,KALI SULPHURICUM 3X,SILICEA 12X  MIX AND TAKE."
URAEMIA,"FERRUM PHOSPHORICUM 12X , KALI MURIATICUM 3X , NATRUM PHOSPHORICUM 3X  MIX AND TAKE ",,,"FERRUM PHOSPHORICUM 12X , KALI MURIATICUM 3X , NATRUM PHOSPHORICUM 3X  MIX AND TAKE "
URINE - INABILITY TO RETAIN,"TAKE CALCARIA PHOSPHORICA  3X OR 12X,KALI PHOSPHORICUM 3X,NATRUM PHOSPHORICUM 3X",,,"TAKE CALCARIA PHOSPHORICA  3X OR 12X,KALI PHOSPHORICUM 3X,NATRUM PHOSPHORICUM 3X"
URINE - MILKY WHITE,NATRUM MURIATICUM 3X,,,NATRUM MURIATICUM 3X
URINE  PAASED DURING SLEEP,"CALCARIA PHOSPHORICA  3X OR 12X,CALCARIA SULPHURICUM 3X,FERRUM PHOSPHORICUM 12X,KALI PHOSPHORICUM 3X,MAGNESIA PHOSPHORICA 3X,NATRUM PHOSPHORICUM 3X,NATRUM SULPHURICUM 3X,SILICEA 12X  MIX AND TAKE.",,,"CALCARIA PHOSPHORICA  3X OR 12X,CALCARIA SULPHURICUM 3X,FERRUM PHOSPHORICUM 12X,KALI PHOSPHORICUM 3X,MAGNESIA PHOSPHORICA 3X,NATRUM PHOSPHORICUM 3X,NATRUM SULPHURICUM 3X,SILICEA 12X  MIX AND TAKE."
URINE BURNING TO PAINFUL,"CALCARIA FLOURIDE 3X,FERRUM PHOSPHORICUM 12X,NATRUM SULPHURICUM 3X,NATRUM MURIATICUM 3X,KALI MURIATICUM 3X,KALI PHOSPHORICUM 3X,KALI SULPHURICUM 3X,NATRUM PHOSPHORICUM 3X,MAGNESIA PHOSPHORICA 3X MIX AND TAKE.",,,"CALCARIA FLOURIDE 3X,FERRUM PHOSPHORICUM 12X,NATRUM SULPHURICUM 3X,NATRUM MURIATICUM 3X,KALI MURIATICUM 3X,KALI PHOSPHORICUM 3X,KALI SULPHURICUM 3X,NATRUM PHOSPHORICUM 3X,MAGNESIA PHOSPHORICA 3X MIX AND TAKE."
URINE COMES OUT ON COUGHING,"FERRUM PHOSPHORICUM12X,NATRUM MURIATICUM 3X,KALI MURIATICUM 3X",,,"FERRUM PHOSPHORICUM12X,NATRUM MURIATICUM 3X,KALI MURIATICUM 3X"
URINE -FOUL SMELL IN,"CALCARIA FLOURIDE 3X,SILICEA 12X  MIX AND TAKE",,,"CALCARIA FLOURIDE 3X,SILICEA 12X  MIX AND TAKE"
URINE INUSCOUS IN,"KALI MURIATICUM 3X,NATRUM SULPHURICUM 3X MIX AND TAKE.",,,"KALI MURIATICUM 3X,NATRUM SULPHURICUM 3X MIX AND TAKE."
URINE MUDDY DEPOSIT IN,"NATRUM MURIATICUM 3X,NATRUM SULPHURICUM 3X,SILICEA 12X  MIX AND TAKE",,,"NATRUM MURIATICUM 3X,NATRUM SULPHURICUM 3X,SILICEA 12X  MIX AND TAKE"
URINE PHOSPHATES IN,TAKE CALCARIA PHOSPHORICA  3X OR 12X,,,TAKE CALCARIA PHOSPHORICA  3X OR 12X
URINE PUS IN,NATRUM PHOSPHORICUM 3X,,,NATRUM PHOSPHORICUM 3X
URINE- RED,"FERRUM PHOSPHORICUM12X,NATRUM MURIATICUM 3X,KALI MURIATICUM 3X,KALI PHOSPHORICUM 3X,KALI SULPHURICUM 3X  MIX AND TAKE.",,,"FERRUM PHOSPHORICUM12X,NATRUM MURIATICUM 3X,KALI MURIATICUM 3X,KALI PHOSPHORICUM 3X,KALI SULPHURICUM 3X  MIX AND TAKE."
URINE STONE IN,"CALCARIA PHOSPHORICA  3X OR 12X,MAGNESIA PHOSPHORICA 3X,NATRUM SULPHURICUM 3X,SILICEA 12X  MIX AND TAKE",,,"CALCARIA PHOSPHORICA  3X OR 12X,MAGNESIA PHOSPHORICA 3X,NATRUM SULPHURICUM 3X,SILICEA 12X  MIX AND TAKE"
URINE TO DECREASE,"ONE TABLET OF  ACID PHOSPHORICUM6  AFTER 2-3 HOURS OTHERWISE CALCARIA FLOURIDE 3X,CALCARIA PHOSPHORICA  3X OR 12X,FERRUM PHOSPHORICUM12X,NATRUM SULPHURICUM 3X,NATRUM MURIATICUM 3X  MIX AND TAKE.",,,"ONE TABLET OF  ACID PHOSPHORICUM6  AFTER 2-3 HOURS OTHERWISE CALCARIA FLOURIDE 3X,CALCARIA PHOSPHORICA  3X OR 12X,FERRUM PHOSPHORICUM12X,NATRUM SULPHURICUM 3X,NATRUM MURIATICUM 3X  MIX AND TAKE."
URINE -URIC ACID IN,"KALI MURIATICUM 3X,SILICEA 12X  MIX AND TAKE.",,,"KALI MURIATICUM 3X,SILICEA 12X  MIX AND TAKE."
URINE YELLOW OR GREENISHYELLOW,"KALI PHOSPHORICUM 3X,NATRUM SULPHURICUM 3X MIX AND TAKE.",,,"KALI PHOSPHORICUM 3X,NATRUM SULPHURICUM 3X MIX AND TAKE."
URTICARIA,APIS.6 ONE TABLET AT THE GAP OF 3 HOURS.IF REMEDY FAILS TRY REMEDY 2.,"CALCARIA FLOURIDE 3X,CALCARIA PHOSPHORICA  3X OR 12X,CALCARIA SULPHURICUM 3X,NATRUM SULPHURICUM 3X,NATRUM MURIATICUM 3X,KALI MURIATICUM 3X,KALI PHOSPHORICUM 3X,KALI SULPHURICUM 3X,NATRUM PHOSPHORICUM 3X,SILICEA 12X  MIX AND TAKE IF  PROBLEM AGAIN OCCURS THEN TAKE NATRUM SULPHURICUM 3X,NATRUM MURIATICUM 3X,NATRUM PHOSPHORICUM 3X.",,"APIS.6 ONE TABLET AT THE GAP OF 3 HOURS.IF REMEDY FAILS TRY REMEDY 2.,CALCARIA FLOURIDE 3X,CALCARIA PHOSPHORICA  3X OR 12X,CALCARIA SULPHURICUM 3X,NATRUM SULPHURICUM 3X,NATRUM MURIATICUM 3X,KALI MURIATICUM 3X,KALI PHOSPHORICUM 3X,KALI SULPHURICUM 3X,NATRUM PHOSPHORICUM 3X,SILICEA 12X  MIX AND TAKE IF  PROBLEM AGAIN OCCURS THEN TAKE NATRUM SULPHURICUM 3X,NATRUM MURIATICUM 3X,NATRUM PHOSPHORICUM 3X.,"
UTERUS REMOVED FROM ITS PLACE,"CALCARIA FLOURIDE 3X,CALCARIA PHOSPHORICA  3X OR 12X,KALI PHOSPHORICUM 3X,NATRUM PHOSPHORICUM 3X  MIX AND TAKE.",,,"CALCARIA FLOURIDE 3X,CALCARIA PHOSPHORICA  3X OR 12X,KALI PHOSPHORICUM 3X,NATRUM PHOSPHORICUM 3X  MIX AND TAKE."
WARTS,,,,"Thuya 9 CH, Antimonium crudum 7 CH, and Nitricum acidum 7 CH5 granules every morning and evening during two months."
WATERY NOSE FLOW,,,,"ALLIUM CEPA 5CH : irritating nose flow excoriating the upper lip with soft tearing and sneezing, aggravated within warm rooms and improved in open air EUPHRASIA 5CH : soft nose flow and very irritating tearing causing red eyes, bonded with intense photophobia. ARSENICUM ALBUM 5CH : nose flow and hot tearing, excoriating, sneezing, bringing no relief, anxiety between 1 and 3 o\u2019clock in the morning. SABADILLA 5CH : continuous sneezing bursts, with itching of the mouth palate, aggravated by smell of flowers. AMBROSIA. 5CH : corrosive acid nose flows, with sneezing that may lead to epistaxis. ARUNDO DONAX 5CH : continuous sneezing with itching of the mouth palate and of the eustachian tube. SOLIDAGO 5CH : sneezing crises alternanting with attacks of asthma, eyes are injected and bright."
WEAK EYE SIGHT,KALI PHOSPHORICUM 3X NATRUM MURIATICUM 3X NATRUM SULPHURICUM 3X SILICEA 12X MIX IN WATER  AND TAKE IF REMEDY FAILS TRY REMEDY 2 ,NATRUM MURIATICUM 200X ONE TABLET IN EVENING ONCE IN 2 WEEKS,,"KALI PHOSPHORICUM 3X NATRUM MURIATICUM 3X NATRUM SULPHURICUM 3X SILICEA 12X MIX IN WATER  AND TAKE IF REMEDY FAILS TRY REMEDY 2 ,NATRUM MURIATICUM 200X ONE TABLET IN EVENING ONCE IN 2 WEEKS,"
WEAK MEMORY,"CALCARIA PHOSPHORICA  3X OR 12X,CALCARIA SULPHURICUM 3X ,KALI  PHOSPHORICA 3X,MAGNESIA PHOSPHORICA 3X,NATRUM MURIATICUM 3X ,SILICEA 12X MIX AND TAKE .",,,"CALCARIA PHOSPHORICA  3X OR 12X,CALCARIA SULPHURICUM 3X ,KALI  PHOSPHORICA 3X,MAGNESIA PHOSPHORICA 3X,NATRUM MURIATICUM 3X ,SILICEA 12X MIX AND TAKE ."
WEAKNESS,CALCAREA PHOSPHORICA 3X OR 12X MIX AND TAKE ,,,CALCAREA PHOSPHORICA 3X OR 12X MIX AND TAKE 
WISDOM TEETH,,,,"In case your child has pains during the growth of  the wisdom teeth, it is possible that an inflammation of the gum be the cause.This inflammation can be relieved with the help of CHEIRANTHUS CHEIRI 9CH 3 granules, 3 times per day.Note that this treatment may clearly suit a teenager or an adult."
